,name,size
185,Celuta (A878 GA),49.99
186,Lamberta (A878 GB),147.294
187,Menippe (A878 MA),35.752
188,Phthia (A878 RA),38.49
189,Ismene (A878 SA),159.0
190,Kolga (A878 SB),94.536
191,Nausikaa (A879 DA),98.776
192,Ambrosia (A879 DB),26.302
193,Prokne (A879 FA),161.667
194,Eurykleia (A879 HA),93.109
195,Philomela (A879 JA),144.626
196,Arete (A879 KA),31.729
197,Ampella (A879 LA),54.323
198,Byblis (A879 NA),76.129
199,Dynamene (A879 OA),128.301
200,Penelope (A879 PA),85.877
201,Chryseis (A879 RA),86.15
202,Pompeja (A879 SA),124.592
203,Kallisto (A879 TA),48.566
204,Martha (A879 TB),76.983
205,Hersilia (A879 TC),113.0
206,Hedda (A879 UA),57.88
207,Lacrimosa (A879 UB),40.056
208,Dido (A879 UC),179.008
209,Isabella (A879 VA),86.65
210,Isolda (A879 XA),141.125
211,Medea (A880 CA),136.12
212,Lilaea (A880 DA),82.096
213,Aschera (A880 DB),24.957
214,Oenone (A880 GA),35.21
215,Kleopatra (A880 GB),122.0
216,Eudora (A880 QA),65.392
217,Bianca (A880 RA),60.62
218,Thusnelda (A880 SA),37.674
219,Stephania (A881 KA),31.738
220,Eos (A882 BA),95.469
221,Lucia (A882 CA),55.35
222,Rosa (A882 EA),79.806
223,Oceana (A882 FA),58.236
224,Henrietta (A882 HA),95.934
225,Weringia (A882 OA),31.494
226,Philosophia (A882 PA),123.891
227,Agathe (A882 QA),9.3
228,Adelinda (A882 QB),105.912
229,Athamantis (A882 RA),111.332
230,Vindobona (A882 RB),73.545
231,Russia (A883 BA),54.73
232,Asterope (A883 JA),99.672
233,Barbara (A883 PA),45.476
234,Carolina (A883 WA),57.517
235,Honoria (A884 HA),77.708
236,Coelestina (A884 MA),41.08
237,Hypatia (A884 NA),155.659
238,Adrastea (A884 QA),37.609
239,Vanadis (A884 QB),87.928
240,Germania (A884 RA),168.9
241,Kriemhild (A884 SA),40.802
242,Ida (A884 SB),32.0
243,Sita (A884 TA),11.077
244,Vera (A885 CA),75.949
245,Asporina (A885 EA),50.891
246,Eukrate (A885 EB),130.935
247,Lameia (A885 LA),50.12
248,Ilse (A885 QA),34.83
249,Bettina (A885 RA),120.995
250,Sophia (A885 TA),27.495
251,Clementina (A885 TB),65.344
252,Mathilde (A885 VA),52.8
253,Augusta (A886 FA),12.467
254,Oppavia (A886 FB),56.939
255,Walpurga (A886 GA),66.634
256,Silesia (A886 GB),72.66
257,Tyche (A886 JA),64.78
258,Aletheia (A886 MA),174.318
259,Huberta (A886 TA),101.539
260,Prymno (A886 UA),50.011
261,Valda (A886 VA),14.645
262,Dresda (A886 VB),23.952
263,Libussa (A886 YA),62.969
264,Anna (A887 DA),22.767
265,Aline (A887 KA),109.494
266,Tirza (A887 KB),55.998
267,Adorea (A887 LA),144.585
268,Justitia (A887 SA),50.728
269,Anahita (A887 TA),51.4
270,Penthesilea (A887 TB),65.901
271,Antonia (A888 CA),26.87
272,Atropos (A888 EA),29.768
273,Philagoria (A888 GA),27.307
274,Sapientia (A888 GB),103.0
275,Adelheid (A888 HA),114.723
276,Elvira (A888 JA),30.422
277,Paulina (A888 KA),32.773
278,Thule (A888 UA),126.59
279,Philia (A888 UB),45.69
280,Lucretia (A888 UC),11.036
281,Clorinde (A889 BA),39.03
282,Emma (A889 CA),132.385
283,Amalia (A889 KA),52.95
284,Regina (A889 PA),47.156
285,Iclea (A889 PB),94.3
286,Nephthys (A889 QA),59.615
287,Glauke (A890 DA),28.981
288,Nenetta (A890 EA),37.586
289,Bruna (A890 FA),9.822
290,Alice (A890 HA),10.456
291,Ludovica (A890 HB),30.864
292,Brasilia (A890 KA),57.486
293,Felicia (A890 NA),51.865
294,Theresia (A890 QA),28.34
295,Phaetusa (A890 QB),8.196
296,Caecilia (A890 RA),39.48
297,Baptistina (A890 RB),21.135
298,Thora (A890 TA),15.757
299,Geraldina (A890 TB),67.373
300,Bavaria (A890 WA),53.042
301,Clarissa (A890 VA),38.53
302,Josephina (A891 CA),124.923
303,Olga (A891 CB),65.99
304,Gordonia (A891 DA),47.739
305,Unitas (A891 EA),47.2
306,Nike (A891 EB),61.313
307,Polyxo (A891 FA),128.578
308,Fraternitas (A891 GA),41.075
309,Margarita (A891 KA),33.708
310,Claudia (A891 LA),26.3
311,Pierretta (A891 QA),46.191
312,Chaldaea (A891 QB),71.183
313,Rosalia (A891 RA),60.689
314,Constantia (A891 RB),6.534
315,Goberta (A891 RC),56.067
316,Roxane (A891 RD),18.648
317,Magdalena (A891 SA),85.0
318,Leona (A891 TA),49.943
319,Katharina (A891 TB),23.362
320,Florentina (A891 TC),27.974
321,Phaeo (A891 WB),69.855
322,Brucia (A891 YB),27.714
323,Bamberga (A892 DA),220.691
324,Heidelberga (A892 EA),75.72
325,Tamara (A892 FD),93.0
326,Columbia (A892 FE),30.291
327,Gudrun (A892 FF),145.68
328,Svea (A892 FG),81.057
329,Adalberta (A910 CB),9.111
330,Etheridgea (A892 GA),74.92
331,Siri (A892 FH),40.37
332,Badenia (A892 QA),72.199
333,Chicago (A892 QB),198.77
334,Roberta (A892 RB),97.109
335,Lacadiera (A892 SA),63.356
336,Devosa (A892 SB),64.549
337,Budrosa (A892 SF),50.506
338,Dorothea (A892 SC),44.329
339,Eduarda (A892 SD),28.025
340,California (A892 SE),15.83
341,Endymion (A892 UA),64.266
342,Ostara (A892 VA),18.213
343,Desiderata (A892 WA),124.181
344,Tercidina (A892 WB),90.243
345,Hermentaria (A892 WC),86.447
346,Pariana (A892 WD),48.615
347,May (A892 WE),82.82
348,Dembowska (A892 XB),139.77
349,Ornamenta (A892 XC),128.729
350,Yrsa (A892 YA),39.72
351,Gisela (A893 AB),26.744
352,Ruperto-Carola (A893 BB),14.025
353,Eleonora (A893 BC),148.97
354,Gabriella (A893 BD),24.04
355,Liguria (A893 BE),145.503
356,Ninina (A893 CB),124.107
357,Apollonia (A893 EC),90.116
358,Georgia (A893 ED),43.89
359,Carlova (A893 EE),129.125
360,Bononia (A893 EF),154.334
361,Havnia (A893 EG),98.0
362,Padua (A893 FD),97.0
363,Isara (A893 FE),25.901
364,Corduba (A893 FF),86.773
365,Vincentina (A893 FG),86.368
366,Amicitia (A893 KB),21.243
367,Haidea (A893 KC),69.277
368,Aeria (A893 NA),73.767
369,Modestia (A893 NB),38.093
370,Bohemia (A893 OA),52.976
371,Palma (A893 QB),173.642
372,Melusina (A893 RA),98.695
373,Burgundia (A893 SA),44.67
374,Ursula (A893 SB),216.0
375,Geometria (A893 SC),35.465
376,Campania (A893 SD),90.346
377,Holmia (A893 XA),27.831
378,Huenna (A894 AA),84.787
379,Fiducia (A894 AB),67.508
380,Myrrha (A894 AC),127.639
381,Dodona (A894 BB),65.209
382,Janina (A894 BC),43.482
383,Burdigala (A894 CA),34.435
384,Ilmatar (A894 EA),85.837
385,Siegena (A894 EB),165.01
386,Aquitania (A894 EC),100.51
387,Charybdis (A894 ED),125.754
388,Industria (A894 EE),74.378
389,Alma (A894 FA),25.688
390,Ingeborg (A894 VB),15.751
391,Wilhelmina (A894 VD),60.75
392,Lampetia (A894 VC),116.191
393,Arduina (A894 WB),29.97
394,Delia (A894 WC),44.189
395,Aeolia (A894 XA),39.242
396,Vienna (A894 YA),49.032
397,Admete (A894 YB),49.771
398,Persephone (A895 DD),39.566
399,Ducrosa (A895 EC),36.001
400,Ottilia (A895 FA),87.803
401,Chloe (A895 FB),55.421
402,Cyane (A895 KA),53.574
403,Arsinoe (A895 MA),94.97
404,Thia (A895 OB),108.894
405,Erna (A895 QA),46.266
406,Arachne (A895 TB),95.07
407,Fama (A917 RB),35.62
408,Aspasia (A895 XC),171.012
409,Chloris (A896 AC),118.929
410,Xanthe (A896 AD),76.53
411,Elisabetha (A896 AB),96.056
412,Edburga (A896 AA),34.242
413,Liriope (A896 BB),88.76
414,Palatia (A896 CA),83.56
415,Vaticana (A896 JA),85.47
416,Suevia (A896 JB),54.874
417,Alemannia (A896 RD),40.33
418,Aurelia (A896 RF),148.701
419,Bertholda (A896 RC),138.699
420,Zahringia (A896 RE),14.119
421,Berolina (A896 TA),10.714
422,Diotima (A896 XA),175.859
423,Gratia (A896 YD),102.565
424,Cornelia (A896 YC),67.925
425,Hippo (A897 RA),137.562
426,Galene (A897 RB),32.193
427,Monachia (A897 WA),20.184
428,Lotis (A897 WB),69.62
429,Hybris (A897 YA),31.702
430,Nephele (A897 YB),101.9
431,Pythia (A897 YC),46.9
432,Eros (A898 PA),16.84
433,Hungaria (A898 RB),8.934
434,Ella (A898 RA),34.792
435,Patricia (A898 RC),58.609
436,Rhodia (A898 OA),13.373
437,Zeuxo (A898 VG),58.871
438,Ohio (A898 TA),70.421
439,Theodora (A898 TB),13.6
440,Bathilde (A898 XA),65.131
441,Eichsfeldia (A899 CA),62.171
442,Photographica (A899 DA),25.504
443,Gyptis (A899 FA),159.331
444,Edna (A899 TC),87.812
445,Aeternitas (A899 UB),53.562
446,Valentine (A899 UD),85.224
447,Natalie (A899 UC),50.534
448,Hamburga (A899 UE),85.59
449,Brigitta (A899 VB),37.038
450,Patientia (A899 XA),253.9
451,Hamiltonia (A899 XB),11.563
452,Tea (A900 DD),23.985
453,Mathesis (A900 FB),81.743
454,Bruchsalia (A900 KC),88.792
455,Abnoba (A900 LA),37.713
456,Alleghenia (A900 RA),18.739
457,Hercynia (A900 SD),36.698
458,Signe (A900 UH),25.784
459,Scania (A900 UF),19.689
460,Saskia (A900 UG),43.603
461,Eriphyla (A900 UJ),34.274
462,Lola (A900 UK),20.908
463,Megaira (A901 AB),77.056
464,Alekto (A901 AC),73.34
465,Tisiphone (A901 BB),95.495
466,Laura (A901 AA),39.471
467,Lina (A901 BC),60.238
468,Argentina (A901 DC),133.718
469,Kilia (A901 HC),27.75
470,Papagena (A901 LA),148.128
471,Roma (A901 NA),50.278
472,Nolli (A901 CB),12.394
473,Prudentia (A901 CC),40.972
474,Ocllo (A901 PA),17.83
475,Hedwig (A901 QB),138.493
476,Italia (A901 QC),22.988
477,Tergeste (A901 SC),80.738
478,Caprera (A901 VK),60.088
479,Hansa (A901 KB),56.22
480,Emita (A902 CB),101.829
481,Petrina (A902 EH),45.751
482,Seppina (A902 EJ),66.858
483,Pittsburghia (A902 HA),30.06
484,Genua (A902 JC),63.88
485,Cremona (A902 JD),22.781
486,Venetia (A902 NC),59.046
487,Kreusa (A902 MC),168.117
488,Comacina (A902 RD),139.39
489,Veritas (A902 RE),118.803
490,Carina (A902 RG),91.176
491,Gismonda (A902 RF),53.418
492,Griseldis (A902 RH),41.55
493,Virtus (A902 TF),100.786
494,Eulalia (A902 UL),37.287
495,Gryphia (A902 UM),14.403
496,Iva (A902 VB),40.932
497,Tokio (A902 XA),81.83
498,Venusia (A902 YE),77.328
499,Selinur (A903 BJ),40.828
500,Urhixidur (A903 BK),74.457
501,Sigune (A903 BM),15.805
502,Evelyn (A903 BL),81.68
503,Cora (A902 NB),30.438
504,Cava (A902 QA),115.0
505,Marion (A903 DB),105.94
506,Laodica (A903 DC),45.17
507,Princetonia (A903 HC),117.241
508,Iolanda (A903 HD),51.892
509,Mabella (A903 KA),60.45
510,Davida (A903 KB),270.327
511,Taurinensis (A903 MC),23.09
512,Centesima (A916 BC),48.805
513,Armida (A903 QC),120.093
514,Athalia (A903 SH),41.19
515,Amherstia (A903 SG),65.144
516,Edith (A903 SK),111.89
517,Halawe (A915 TP),16.157
518,Sylvania (A903 UJ),40.078
519,Franziska (A903 UK),25.261
520,Brixia (A904 AE),107.227
521,Helga (A904 AF),101.22
522,Ada (A904 BA),31.89
523,Fidelio (A904 ED),65.527
524,Adelaide (A908 UJ),9.326
525,Jena (A904 EE),44.84
526,Euryanthe (A904 FC),52.627
527,Rezia (A904 FA),91.966
528,Preziosa (A904 FB),32.01
529,Turandot (A904 GB),84.85
530,Zerlina (A904 GC),17.804
531,Herculina (A904 HE),167.791
532,Sara (A904 HC),30.819
533,Nassovia (A904 HD),32.333
534,Montague (A904 JE),79.299
535,Merapi (A904 JF),147.066
536,Pauly (A904 NB),40.732
537,Friederike (A904 OA),70.64
538,Pamina (A904 PD),68.356
